Title,Date
"Amor e Anarquia: Temporada 1: Arrependimentos","06/11/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 2: Feira do Bem-Estar","06/11/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 2: Loja superquente","06/11/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 2: Dia dos Namorados","01/11/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 2: Almoço de meninas","01/11/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 2: Troca de marca","31/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 2: Achados e perdidos","31/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 2: Black Friday","31/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 2: Contratando para o Natal","31/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 2: Dia de eleição","31/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 2: Roubo no Halloween","31/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 2: Dia de Adoção de Cães","31/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 2: O escândalo do porta-voz","30/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 2: Armas, pílulas e o corvo","30/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 2: De volta ao trabalho","30/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 2: Greve","30/10/2022"
"Inventando Anna: Minissérie: Duas fontes numa tacada só","30/10/2022"
"Cyberpunk: Mercenários: Decepção","29/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 2: Olimpíadas","29/10/2022"
"Cyberpunk: Mercenários: Pouso na lua","28/10/2022"
"Cyberpunk: Mercenários: Estado geral da gangue","28/10/2022"
"Cyberpunk: Mercenários: Fique","28/10/2022"
"Cyberpunk: Mercenários: Mais forte","28/10/2022"
"Cyberpunk: Mercenários: Sorte?","28/10/2022"
"Cyberpunk: Mercenários: Morte e fogueira","27/10/2022"
"Cyberpunk: Mercenários: Chamando atenção","26/10/2022"
"Cyberpunk: Mercenários: Conhecendo a gangue","25/10/2022"
"Cyberpunk: Mercenários: Força feminina","24/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 1: Parto","23/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 1: Rebaixamento","23/10/2022"
"Guia Astrológico para Corações Partidos: Temporada 1: Áries","23/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 1: Noite na loja","20/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 1: Promoção de casamento","20/10/2022"
"Mimadinhos","20/10/2022"
"Uncoupled: Capítulo 8","16/10/2022"
"Isso é um Bolo?: Temporada 1: Fast-food ou bolo?","15/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 1: Guerra das Cores","15/10/2022"
"Amor e Anarquia: Temporada 1: Feira literária","15/10/2022"
"Amor e Anarquia: Temporada 1: Emprego fixo","15/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 1: Cliente oculto","15/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 1: Ladra","15/10/2022"
"Uncoupled: Capítulo 7","14/10/2022"
"Amor e Anarquia: Temporada 1: Stream-Us","14/10/2022"
"Amor e Anarquia: Temporada 1: Surpresas","14/10/2022"
"Amor e Anarquia: Temporada 1: Como tudo começou","14/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 1: Manequim","09/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 1: Vacinas e molhos","09/10/2022"
"Uncoupled: Capítulo 6","08/10/2022"
"Uncoupled: Capítulo 5","05/10/2022"
"Inventando Anna: Minissérie: Diabólica","05/10/2022"
"Uncoupled: Capítulo 4","05/10/2022"
"Uncoupled: Capítulo 3","05/10/2022"
"Master of None: Temporada 1: Pais","04/10/2022"
"Master of None: Temporada 1: Plano B","04/10/2022"
"The Politician: Temporada 1: Piloto","04/10/2022"
"Uncoupled: Capítulo 2","04/10/2022"
"Uncoupled: Capítulo 1","04/10/2022"
"Please Like Me: Temporada 1: Ruibarbo e creme inglês","04/10/2022"
"Please Like Me: Temporada 1: Torrada francesa","04/10/2022"
"Detox: Não somos incríveis?","04/10/2022"
"The Bold Type: Temporada 1: Não pode ser!","04/10/2022"
"Emily em Paris: Temporada 1: Sexy ou sexista","04/10/2022"
"Emily em Paris: Temporada 1: Palavras masculinas","04/10/2022"
"Emily em Paris: Temporada 1: Emily em Paris","04/10/2022"
"Superstore: Uma Loja de Inconveniências: Temporada 1: Matéria na revista","04/10/2022"
"Inventando Anna: Minissérie: Vida de VIP","04/10/2022"
"The Bold Type: Temporada 1: Piloto","04/10/2022"
"Horsin' Around","03/10/2022"
